Event	ID	Name			Wwise Object Path	Notes
	530129416	teleport			\Default Work Unit\teleport	
	700963316	tank_stop			\Default Work Unit\tank_stop	
	1114964412	start_game			\Default Work Unit\start_game	
	1344794032	impact_destroy			\Default Work Unit\impact_destroy	
	1641559457	play_environment			\Default Work Unit\play_environment	
	1784980575	ui_no			\Default Work Unit\ui_no	
	2145821634	start_beep			\Default Work Unit\start_beep	
	2224914864	pig_impact			\Default Work Unit\pig_impact	
	2932040671	play_music			\Default Work Unit\play_music	
	3032509978	ui_changeanimal			\Default Work Unit\ui_changeanimal	
	3145893416	tank_start			\Default Work Unit\tank_start	
	3278493340	stop_beep			\Default Work Unit\stop_beep	
	3702403660	weapon_fire			\Default Work Unit\weapon_fire	
	3717848113	end_game			\Default Work Unit\end_game	
	4030404899	play_explosion			\Default Work Unit\play_explosion	

Switch Group	ID	Name			Wwise Object Path	Notes
	3893417221	weapon			\Default Work Unit\weapon	

Switch	ID	Name	Switch Group			Notes
	873374482	alien	weapon			
	1083682102	cow	weapon			
	1115118811	pig	weapon			

State Group	ID	Name			Wwise Object Path	Notes
	3826569560	music_state			\Default Work Unit\music_state	

State	ID	Name	State Group			Notes
	748895195	None	music_state			
	1521187885	startgame	music_state			
	4264815106	endgame	music_state			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1240670792	distance			\Default Work Unit\distance	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	13787301	future communicator signal 03	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\future communicator signal 03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\ui_changeanimal\future communicator signal 03		18244
	18402606	boom_layer3_03	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\boom_layer3_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\explosion\boom_layer3\boom_layer3_03		661564
	31496629	NAD_VR_Loop	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\NAD_VR_Loop_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\incowming_musique\musique\NAD_VR_Loop\NAD_VR_Loop		13547584
	40053802	boom_layer2_04	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\boom_layer2_04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\explosion\boom_layer2\boom_layer2_04		793864
	48936457	boom_layer1_05	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\boom_layer1_05_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\explosion\boom_layer1\boom_layer1_05		264664
	49282384	robot gun shot 2	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\robot gun shot 2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\fire\gun\robot gun shot 2		97736
	74234849	teleport_p2	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\teleport_p2_98F9F046.wem		\Actor-Mixer Hierarchy\Default Work Unit\Teleport\teleport_p2		429968
	75726147	cow_03	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\cow_03_9398DA30.wem		\Actor-Mixer Hierarchy\Default Work Unit\fire\weapon\cow\cow_03		131184
	112560170	cow_01	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\cow_01_F8F4FF58.wem		\Actor-Mixer Hierarchy\Default Work Unit\fire\weapon\cow\cow_01		76282
	128282623	crash_ice_03	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\crash_ice_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\destroy\crash_ice\crash_ice_03		481048
	138326077	robot gun shot 1	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\robot gun shot 1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\fire\gun\robot gun shot 1		135428
	150390474	pig_04	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\pig_04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\fire\weapon\pig\pig_04		89270
	162677348	smallrock_01	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\smallrock_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\destroy\crash_rock\smallrock_01		264664
	164568501	smallrock_03	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\smallrock_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\destroy\crash_rock\smallrock_03		617676
	197753008	boom_layer2_02	D:\IncowmingA2016\16-3-NAND164-Incowming\Import\IncowmingWwise\incowming\.cache\Windows\SFX\boom_layer2_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\explosion\boom_layer2\boom_layer2_02		793864
